movie_id,title,vote_average,vote_count,status,release_date,revenue,adult,budget,imdb_id,original_language,original_title,overview,popularity,genres,production_companies,production_countries,spoken_languages
4520563,Wanted,6.508,6562,Released,6/19/2008,342463063,FALSE,75000000,tt0493464,en,Wanted,"Doormat Wesley Gibson discovers that his recently murdered father - who Wesley never knew - belonged to a secret guild of assassins. After a leather-clad sexpot drafts Wesley into the society, he hones his innate killing skills and turns avenger.",29.371,"Action, Thriller, Crime","Kickstart, Universal Pictures, Spyglass Entertainment, Bazelevs Production, Marc Platt Productions, Top Cow Productions, Relativity Media, Ringerike Zweite Filmproduktion, Revolution Sun Studios","Germany, Russia, United States of America",English
4520564,Despicable Me 3,6.451,6560,Released,6/15/2017,1031552585,FALSE,80000000,tt3469046,en,Despicable Me 3,Gru and his wife Lucy must stop former '80s child star Balthazar Bratt from achieving world domination.,29.104,"Action, Animation, Comedy, Family, Adventure","Illumination, Universal Pictures",United States of America,English
4520565,Nerve,7.045,6555,Released,6/27/2016,85241496,FALSE,19000000,tt3531824,en,Nerve,"Industrious high school senior Vee Delmonico has had it with living life on the sidelines. When pressured by friends to join the popular online game Nerve, Vee decides to sign up for just one dare in what seems like harmless fun. But as she finds herself caught up in the thrill of the adrenaline-fueled competition partnered with a mysterious stranger, the game begins to take a sinister turn with increasingly dangerous acts, leading her into a high stakes finale that will determine her entire future.",14.439,"Mystery, Adventure, Crime","Lionsgate, Allison Shearmur Productions, Keep Your Head Productions",United States of America,English
4520566,Heat,7.903,6552,Released,12/15/1995,187436818,FALSE,60000000,tt0113277,en,Heat,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,41.522,"Action, Crime, Drama","Regency Enterprises, Forward Pass, Warner Bros. Pictures, The Linson Company, Monarchy Enterprises B.V., New Regency Pictures",United States of America,"English, Spanish"
4520567,The Boy in the Striped Pyjamas,7.849,6542,Released,5/7/2008,20416563,FALSE,12500000,tt0914798,en,The Boy in the Striped Pyjamas,"When his family moves from their home in Berlin to a strange new house in Poland, young Bruno befriends Shmuel, a boy who lives on the other side of the fence where everyone seems to be wearing striped pajamas. Unaware of Shmuel's fate as a Jewish prisoner or the role his own Nazi father plays in his imprisonment, Bruno embarks on a dangerous journey inside the camp's walls.",45.822,"War, Drama, History","BBC Film, Miramax, Heyday Films","United Kingdom, United States of America",English
4520568,Rampage,6.451,6539,Released,4/11/2018,428028233,FALSE,120000000,tt2231461,en,Rampage,"Primatologist Davis Okoye shares an unshakable bond with George, the extraordinarily intelligent, silverback gorilla who has been in his care since birth.  But a rogue genetic experiment gone awry mutates this gentle ape into a raging creature of enormous size.  To make matters worse, it’s soon discovered there are other similarly altered animals.  As these newly created alpha predators tear across North America, destroying everything in their path, Okoye teams with a discredited genetic engineer to secure an antidote, fighting his way through an ever-changing battlefield, not only to halt a global catastrophe but to save the fearsome creature that was once his friend.",109.045,"Action, Adventure, Science Fiction","Wrigley Pictures, New Line Cinema, 7 Bucks Entertainment, ASAP Entertainment, Flynn Picture Company, Twisted Media",United States of America,"English, Spanish"
4520569,Cloverfield,6.672,6525,Released,1/15/2008,170764026,FALSE,25000000,tt1060277,en,Cloverfield,"Five young New Yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. Told from the point of view of their video camera, the film is a document of their attempt to survive the most surreal, horrifying event of their lives.",29.625,"Action, Thriller, Science Fiction",Bad Robot,United States of America,"Russian, English"
4520570,Constantine,7.063,6521,Released,2/8/2005,230884728,FALSE,100000000,tt0360486,en,Constantine,"John Constantine has literally been to Hell and back. When he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary Los Angeles.",48.185,"Fantasy, Action, Horror","Village Roadshow Pictures, Lonely Film Productions GmbH & Co. KG., The Donners' Company, Batfilm Productions, Weed Road Pictures, Warner Bros. Pictures, 3 Arts Entertainment, DC Vertigo","Germany, United States of America","English, Latin, Spanish, Tagalog"
4520571,Click,6.3,6518,Released,6/23/2006,240685326,FALSE,82500000,tt0389860,en,Click,"A married workaholic, Michael Newman doesn't have time for his wife and children, not if he's to impress his ungrateful boss and earn a well-deserved promotion. So when he meets Morty, a loopy sales clerk, he gets the answer to his prayers: a magical remote that allows him to bypass life's little distractions with increasingly hysterical results.",34.068,"Comedy, Drama, Fantasy","Original Film, Revolution Studios, Columbia Pictures, Happy Madison Productions",United States of America,"English, Portuguese, Japanese"
4520572,Thor: Love and Thunder,6.517,6510,Released,7/6/2022,760928081,FALSE,250000000,tt10648342,en,Thor: Love and Thunder,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",117.087,"Fantasy, Action, Comedy","Marvel Studios, Kevin Feige Productions",United States of America,English
